K,M,type,method,mean_kernel_μs,std_kernel_μs,mean_total_μs,std_total_μs
64,65536,Float32,Forge,387.0207932777703,13.284110852982849,410.52730541539194,2.0044691782577155
64,65536,Float32,CUB,NaN,NaN,NaN,NaN
64,65536,Float32,Thrust,NaN,NaN,NaN,NaN
256,16384,Float32,Forge,721.4847952127457,0.2656618505716324,754.4853194932341,11.975783782887051
256,16384,Float32,CUB,NaN,NaN,NaN,NaN
256,16384,Float32,Thrust,NaN,NaN,NaN,NaN
1024,4096,Float32,Forge,810.9055925160646,2.5808827858418226,836.315584976241,2.665699745644383
1024,4096,Float32,CUB,NaN,NaN,NaN,NaN
1024,4096,Float32,Thrust,NaN,NaN,NaN,NaN
4096,1024,Float32,Forge,592.8448168560863,10.551394172944129,616.363838446319,2.1823781673865987
4096,1024,Float32,CUB,NaN,NaN,NaN,NaN
4096,1024,Float32,Thrust,NaN,NaN,NaN,NaN
16384,256,Float32,Forge,1228.1087692826986,11.272471407428384,1254.7652217600048,3.1519313349668114
16384,256,Float32,CUB,NaN,NaN,NaN,NaN
16384,256,Float32,Thrust,NaN,NaN,NaN,NaN
65536,64,Float32,Forge,1202.1247763186693,1.0627164412289858,1232.5863259243072,10.357379378451327
65536,64,Float32,CUB,NaN,NaN,NaN,NaN
65536,64,Float32,Thrust,NaN,NaN,NaN,NaN
262144,16,Float32,Forge,1195.1871681958437,15.143899144604802,1220.8781951298715,3.433685544612881
262144,16,Float32,CUB,NaN,NaN,NaN,NaN
262144,16,Float32,Thrust,NaN,NaN,NaN,NaN
1048576,4,Float32,Forge,1189.2992071807384,18.40799130499363,1213.8931799687148,1.3157994723065694
1048576,4,Float32,CUB,NaN,NaN,NaN,NaN
1048576,4,Float32,Thrust,NaN,NaN,NaN,NaN
64,65536,UInt8,Forge,213.86239677667618,0.15181663446128368,221.27589336664977,2.2157404319475975
64,65536,UInt8,CUB,NaN,NaN,NaN,NaN
64,65536,UInt8,Thrust,NaN,NaN,NaN,NaN
256,16384,UInt8,Forge,516.5567854419351,12.904517487622797,541.0987867346107,3.700593683080634
256,16384,UInt8,CUB,NaN,NaN,NaN,NaN
256,16384,UInt8,Thrust,NaN,NaN,NaN,NaN
1024,4096,UInt8,Forge,211.0464032739401,0.30363326892256737,220.19939648011325,0.8406369596411872
1024,4096,UInt8,CUB,NaN,NaN,NaN,NaN
1024,4096,UInt8,Thrust,NaN,NaN,NaN,NaN
4096,1024,UInt8,Forge,145.6127967685461,0.0,154.30778812123464,0.60192481266525
4096,1024,UInt8,CUB,NaN,NaN,NaN,NaN
4096,1024,UInt8,Thrust,NaN,NaN,NaN,NaN
16384,256,UInt8,Forge,261.273595970124,10.095892490353435,270.6071037229672,1.2164813276936388
16384,256,UInt8,CUB,NaN,NaN,NaN,NaN
16384,256,UInt8,Thrust,NaN,NaN,NaN,NaN
65536,64,UInt8,Forge,266.2144019268453,7.5529466033913195,281.60439106616377,2.495215799999989
65536,64,UInt8,CUB,NaN,NaN,NaN,NaN
65536,64,UInt8,Thrust,NaN,NaN,NaN,NaN
262144,16,UInt8,Forge,278.9375954307616,10.627285230439156,287.9470947214812,0.6234333000000061
262144,16,UInt8,CUB,NaN,NaN,NaN,NaN
262144,16,UInt8,Thrust,NaN,NaN,NaN,NaN
1048576,4,UInt8,Forge,274.53440707176924,0.22772495169192553,283.28091516089444,2.664240227693662
1048576,4,UInt8,CUB,NaN,NaN,NaN,NaN
1048576,4,UInt8,Thrust,NaN,NaN,NaN,NaN
